Store Number,Store Type,Address,City,State,Zip Code,Phone Number,Play Place,Drive Thru,Arch Card,Free Wi-Fi,Latitude,Longitude
,,,,,,,,,,,,
3,Storefront,5725 Roosevelt Ave,Woodside,NY,11377,(718) 639-5193,N,N,Y,Y,40.745495,-73.906723
,,,,,,,,,,,,
6,Gas Station,7040 Theodore Dawes Rd,Theodore,AL,36582,(251) 653-7099,N,Y,Y,Y,30.561124,-88.20655
,,,,,,,,,,,,
7,Gas Station,7501 Washington Ave,Ocean Springs,MS,39564,(228) 875-7824,N,Y,N,Y,30.449638,-88.841944
,,,,,,,,,,,,
13,Storefront,1317 Castlehill Ave,Bronx,NY,10462,(718) 863-9523,N,N,Y,Y,40.834652,-73.852081
,,,,,,,,,,,,
14,Storefront,645 Rossville Ave,Staten Island,NY,10309,(718) 227-7331,N,N,Y,Y,40.542776,-74.207802
,,,,,,,,,,,,
15,Freestanding,515 W. Broadway,Denver City,TX,79323,(432) 785-2992,Y,Y,Y,Y,32.964046,-102.834796
,,,,,,,,,,,,
22,Walmart,310 31St Ave Se (WM #2403),Puyallup,WA,98374,(253) 840-3051,N,N,Y,Y,47.161263,-122.289459
,,,,,,,,,,,,
26,Freestanding,4320 N Cicero,Chicago,IL,60651,(773) 455-3410,N,Y,Y,Y,41.959279,-87.7479
,,,,,,,,,,,,
28,Freestanding,4830 Dempster Street,Skokie,IL,60077-2253,(847) 675-4411,Y,Y,Y,Y,42.041067,-87.748655
,,,,,,,,,,,,
29,Freestanding,6560 S Stoney Island Ave,Chicago,IL,60637,(773) 493-5800,N,Y,Y,Y,41.775364,-87.586815
,,,,,,,,,,,,
32,Freestanding,444 So River Road,Des Plaines,IL,60016-4731,(847) 827-1220,N,Y,Y,Y,42.045303,-87.885418
,,,,,,,,,,,,
37,Freestanding,3115  N Blackstone Ave,Fresno,CA,93703-1017,(559) 229-0539,N,Y,Y,Y,36.778893,-119.790847
,,,,,,,,,,,,
38,Freestanding,18761 Sherman Way,Reseda,CA,91335-4018,(818) 881-8385,Y,Y,Y,Y,34.201477,-118.542305
,,,,,,,,,,,,
39,Freestanding,6904 La Tijera Blvd.,Los Angeles,CA,90045-1954,(310) 649-5617,Y,Y,Y,Y,33.975582,-118.373344
,,,,,,,,,,,,
40,Freestanding,4950 S Dakota Ne,Washington,DC,20017,(202) 529-5126,N,N,Y,Y,38.949527,-76.993283
,,,,,,,,,,,,
47,Freestanding,5425 Fruitridge Road,Sacramento,CA,95820-5508,(916) 453-1615,N,Y,Y,Y,38.525289,-121.441728
,,,,,,,,,,,,
49,Freestanding,1515 West Jefferson Avenue,Joliet,IL,60435,(815) 725-9651,N,Y,Y,Y,41.523169,-88.119486
,,,,,,,,,,,,
52,Freestanding,12542 Harbor Blvd,Garden Grove,CA,92840-5803,(714) 971-2840,Y,Y,Y,Y,33.780876,-117.914421
,,,,,,,,,,,,
53,Freestanding,1 E North Ave,Northlake,IL,60164-2517,(708) 681-1073,Y,Y,Y,Y,41.906697,-87.902444
,,,,,,,,,,,,
55,Freestanding,225 E Ogden Ave,Downers Grove,IL,60515-3144,(630) 969-6310,Y,Y,Y,Y,41.809285,-87.992009
,,,,,,,,,,,,
56,Freestanding,3241 W Peterson,Chicago,IL,60645,(773) 588-8860,Y,Y,Y,Y,41.990025,-87.710477
,,,,,,,,,,,,
57,Freestanding,7614 Richmond Hwy,Alexandria,VA,22306,(703) 768-1930,N,Y,Y,Y,38.75097,-77.083683
,,,,,,,,,,,,
59,Freestanding,656 River Oaks Drive,Calumet City,IL,60409-5712,(708) 862-9707,Y,Y,Y,Y,41.600419,-87.54101
,,,,,,,,,,,,
61,Freestanding,3020 Lehigh St,Allentown,PA,18103,(610) 797-4150,N,Y,Y,Y,40.559727,-75.487806
,,,,,,,,,,,,
63,Freestanding,2075 Snelling Ave N,Roseville,MN,55113,(651) 631-1630,Y,Y,Y,Y,45.003555,-93.167374
,,,,,,,,,,,,
66,Freestanding,5425 West North Bend Road,Cincinnati,OH,45239,(513) 662-2217,Y,Y,Y,Y,39.188997,-84.601562
,,,,,,,,,,,,
68,Freestanding,8056 Sheridan Rd,Kenosha,WI,53142,(262) 654-4840,N,Y,Y,Y,42.55688,-87.825703
,,,,,,,,,,,,
70,Freestanding,4849 Mcknight Rd,Pittsburgh,PA,15237,(412) 364-4773,Y,Y,Y,Y,40.528661,-80.008203
,,,,,,,,,,,,
71,Freestanding,9915 Watson Rd,Crestwood,MO,63126,(314) 965-0815,N,Y,Y,Y,38.55704,-90.393754
,,,,,,,,,,,,
72,Freestanding,1023 N Lake St,Aurora,IL,60506-2415,(630) 897-2052,Y,Y,Y,Y,41.778619,-88.315176
,,,,,,,,,,,,
73,Freestanding,445 W Roosevelt Rd,Glen Ellyn,IL,60137-5622,(630) 858-1114,Y,Y,Y,Y,41.858888,-88.070553
,,,,,,,,,,,,
74,Freestanding,2120 N. Larch,Lansing,MI,48906-4115,(517) 371-4266,N,Y,Y,Y,42.757011,-84.543351
,,,,,,,,,,,,
76,Freestanding,3600 University,Peoria,IL,61604,(309) 685-9397,N,Y,Y,Y,40.731422,-89.612153
,,,,,,,,,,,,
77,Freestanding,2100 Lathrop Ave,Racine,WI,53405-4135,(262) 554-1100,Y,Y,Y,Y,42.703697,-87.826356
,,,,,,,,,,,,
78,Freestanding,350 E Saint Charles Rd,Villa Park,IL,60181-2420,(630) 530-0187,Y,Y,Y,Y,41.89035,-87.969657
,,,,,,,,,,,,
79,Freestanding,2402 S Park St,Madison,WI,53713-2008,(608) 251-1993,N,Y,Y,Y,43.039516,-89.394539
,,,,,,,,,,,,
80,Freestanding,401 Summit St,Elgin,IL,60120,(847) 741-9768,N,Y,Y,Y,42.045882,-88.275459
,,,,,,,,,,,,
82,Freestanding,1117 Howard Street,Evanston,IL,60202,(847) 864-5988,N,Y,Y,Y,42.019769,-87.687685
,,,,,,,,,,,,
83,Freestanding,5022 N Harlem Ave,Harwood Heights,IL,60656,(708) 867-8686,Y,Y,N,Y,41.971593,-87.807549
,,,,,,,,,,,,
86,Freestanding,3515 S Dale Mabry,Tampa,FL,33629,(813) 839-6651,N,Y,Y,Y,27.910894,-82.506659
,,,,,,,,,,,,
87,Freestanding,1570 E Northwest Hwy,Palatine,IL,60074-7609,(847) 255-2955,N,Y,Y,Y,42.094828,-88.006031
,,,,,,,,,,,,
88,Freestanding,804 S Main St,Normal,IL,61701,(309) 452-4023,N,Y,Y,Y,40.503316,-88.994414
,,,,,,,,,,,,
90,Freestanding,3433 Avenue Of The Cities,Moline,IL,61265-4418,(309) 797-8725,N,Y,Y,Y,41.491834,-90.488028
,,,,,,,,,,,,
91,Freestanding,1587 Shawano Ave,Green Bay,WI,54303-3218,(920) 494-4472,N,Y,Y,Y,44.529799,-88.060829
,,,,,,,,,,,,
93,Freestanding,6320 W Lake St,St. Louis Park,MN,55416,(952) 929-0770,Y,Y,Y,Y,44.942429,-93.359924
,,,,,,,,,,,,
94,Freestanding,1443 Madison Rd,Beloit,WI,53511-4080,(608) 362-8718,N,Y,Y,Y,42.517168,-89.063455
,,,,,,,,,,,,
95,Freestanding,1622 Milton Ave,Janesville,WI,53545-1133,(608) 752-7521,Y,Y,Y,Y,42.704061,-89.006395
,,,,,,,,,,,,
97,Freestanding,5008 State Street,Saginaw,MI,48603-3708,(989) 792-6951,Y,Y,Y,Y,43.437273,-84.015157
,,,,,,,,,,,,
100,Freestanding,715 East Memorial Blvd.,Lakeland,FL,33810,(863) 688-6265,N,Y,Y,Y,28.054668,-81.950658
,,,,,,,,,,,,
101,Freestanding,530 S Waukegan Rd,Glenview,IL,60025,(847) 724-3711,N,Y,Y,Y,42.064885,-87.800098
,,,,,,,,,,,,
103,Freestanding,1941 West Street,Annapolis,MD,21401-3907,(410) 266-8023,N,Y,Y,Y,38.98049,-76.527708
,,,,,,,,,,,,
104,Freestanding,5501 Livingston Rd,Forest Heights,MD,20745-2037,(301) 839-9211,N,Y,Y,Y,38.81489,-76.997762
,,,,,,,,,,,,
108,Freestanding,109 South Gilbert Street,Danville,IL,61832-6229,(217) 446-4084,Y,Y,Y,Y,40.11941,-87.636623
,,,,,,,,,,,,
109,Freestanding,1800 28Th Street,Boulder,CO,80301,(303) 443-4700,N,Y,Y,Y,40.019257,-105.257711
,,,,,,,,,,,,
110,Freestanding,4319 Peach St,Erie,PA,16509,(814) 866-6865,N,Y,Y,Y,42.08933,-80.085535
,,,,,,,,,,,,
112,Freestanding,500 E Charles St,Muncie,IN,47305-2610,(765) 284-8848,N,Y,Y,Y,40.191292,-85.381274
,,,,,,,,,,,,
116,Freestanding,8600 Dixie Hwy,Louisville,KY,40258-1002,(502) 935-2762,N,Y,Y,Y,38.127988,-85.850455
,,,,,,,,,,,,
117,Freestanding,1221 28Th St Sw,Wyoming,MI,49509-2701,(616) 531-6190,Y,Y,Y,Y,42.91389,-85.6963
,,,,,,,,,,,,
119,Freestanding,1330 N Milwaukee Ave,Libertyville,IL,60048-1309,(847) 362-3040,N,Y,Y,Y,42.297577,-87.955959
,,,,,,,,,,,,
121,Freestanding,2307 North Ave,Sheboygan,WI,53083,(920) 458-2421,Y,Y,Y,Y,43.773853,-87.736611
,,,,,,,,,,,,
122,Freestanding,2692 Government St,Mobile,AL,36606,(251) 471-5014,Y,Y,Y,Y,30.666182,-88.106416
,,,,,,,,,,,,
123,Freestanding,6729 Arlington Blvd,Falls Church,VA,22042,(703) 241-1488,N,N,Y,Y,38.868838,-77.176824
,,,,,,,,,,,,
124,Freestanding,1321 Union Blvd,Allentown,PA,18109-1572,(610) 437-7970,N,Y,Y,Y,40.625065,-75.435147
,,,,,,,,,,,,
128,Freestanding,7502 W Sr 930,New Haven,IN,46774,(260) 749-8015,N,Y,Y,Y,41.069272,-85.045275
,,,,,,,,,,,,
132,Freestanding,1863 N Jackson St,Oshkosh,WI,54901-2203,(920) 231-2268,N,Y,Y,Y,44.040673,-88.54334
,,,,,,,,,,,,
134,Freestanding,107 Main St,Islip,NY,11751,(631) 665-6420,Y,Y,Y,Y,40.728313,-73.225479
,,,,,,,,,,,,
135,Freestanding,501 W Sunshine,Springfield,MO,65807-2435,(417) 862-4241,N,Y,Y,Y,37.182774,-93.29677
,,,,,,,,,,,,
139,Freestanding,1024 East Grand River Road,East Lansing,MI,48823-4542,(517) 332-6647,N,Y,Y,Y,42.731273,-84.470181
,,,,,,,,,,,,
142,Freestanding,3701 Broadway,Fair Lawn,NJ,7410,(201) 794-1313,N,Y,Y,Y,40.926113,-74.099762
,,,,,,,,,,,,
144,Freestanding,1425 Missouri Blvd,Jefferson City,MO,65109,(573) 635-5824,N,Y,Y,Y,38.579066,-92.195242
,,,,,,,,,,,,
146,Freestanding,28220 John R/12 Mile Road,Madison Heights,MI,48071-2814,(248) 545-5134,N,Y,Y,Y,42.501095,-83.105125
,,,,,,,,,,,,
147,Freestanding,207 N Wahsatch,Colorado Springs,CO,80903-3408,(719) 634-7589,N,Y,Y,Y,38.836886,-104.817363
,,,,,,,,,,,,
148,Freestanding,2375 Berlin Tpke,Newington,CT,6111,(860) 667-4600,N,Y,Y,Y,41.687704,-72.708146
,,,,,,,,,,,,
151,Freestanding,8214 N Florida Ave,Tampa,FL,33604,(813) 935-4477,N,Y,Y,Y,28.023042,-82.459846
,,,,,,,,,,,,
152,Freestanding,3645 Cleveland Avenue,Fort Myers,FL,33901-7905,(239) 936-3054,N,Y,Y,Y,26.609511,-81.871417
,,,,,,,,,,,,
